"","bin","n"
"1","Leptotila ",62
"2","Tinamus major",10
"3","Crypturellus variegatus",6
"4","Odontophorus gujanensis",5
"5","Crax alector",4
"6","Buteogallus ",2
"7","Chamaeza campanisona",2
"8","Penelope marail",2
"9","Tinamus ",2
"10","Turdus albicollis",2
"11","Crypturellus ",1
"12","Geotrygon montana",1
"13","Penelope ",1
"14","Piaya cayana",1
"15","Pitangus sulphuratus",1
